3d-scan-calc,mesh-analysis
civ6-adjacency-optimizer,civ6lib
crystallographic-wyckoff-position-analysis,pymatgen
econ-detrending-correlation,timeseries-detrending
edit-pdf,pdf-editing
energy-market-pricing,economic-dispatch
find-topk-similiar-chemicals,rdkit
gravitational-wave-detection,matched-filtering
grid-dispatch-operator,economic-dispatch
jax-computing-basics,jax-skills
jpg-ocr-stat,openai-vision
lab-unit-harmonization,lab-unit-harmonization
lean4-proof,lean4-memories
manufacturing-equipment-maintenance,reflow-profile-compliance-toolkit
offer-letter-generator,docx
organize-messy-files,pptx
paper-anonymizer,pdf
protein-expression-analysis,xlsx
reserves-at-risk-calc,xlsx
shock-analysis-demand,xlsx
speaker-diarization-subtitles,speaker-clustering
spring-boot-jakarta-migration,spring-security-6
syzkaller-ppdev-syzlang,syz-extract-constants
travel-planning,search-accommodations
video-filler-word-remover,whisper-transcription
weighted-gdp-calc,xlsx
xlsx-recover-data,xlsx
